Comarca,Código Comarca,Concello,Código Concello,Parroquia,Código Parroquia
O Ribeiro,32,A Arnoia,32003,A Arnoia (San Salvador),3200301
O Ribeiro,32,Avión,32004,Abelenda (Santa Mariña),3200401
O Ribeiro,32,Avión,32004,Amiudal (Santiago),3200402
O Ribeiro,32,Avión,32004,Avión (Santos Xusto e Pastor),3200403
O Ribeiro,32,Avión,32004,Baíste (Santa María),3200404
O Ribeiro,32,Avión,32004,Barroso (Santa Baia),3200405
O Ribeiro,32,Avión,32004,Córcores (Santa Mariña),3200406
O Ribeiro,32,Avión,32004,Cortegazas (Santo Antonio),3200407
O Ribeiro,32,Avión,32004,Couso (Santa María),3200408
O Ribeiro,32,Avión,32004,Nieva (Santa María),3200409
O Ribeiro,32,Beade,32010,Beade (Santa María),3201001
O Ribeiro,32,Beade,32010,As Regadas (San Amaro),3201002
O Ribeiro,32,Carballeda de Avia,32018,Abelenda das Penas (Santo André),3201801
O Ribeiro,32,Carballeda de Avia,32018,Balde (San Martiño),3201802
O Ribeiro,32,Carballeda de Avia,32018,Beiro (San Pedro),3201803
O Ribeiro,32,Carballeda de Avia,32018,Carballeda (San Miguel),3201804
O Ribeiro,32,Carballeda de Avia,32018,Faramontaos (San Cosmede),3201805
O Ribeiro,32,Carballeda de Avia,32018,Muimenta (San Xiao),3201806
O Ribeiro,32,Carballeda de Avia,32018,Santo Estevo de Nóvoa (Santo Estevo),3201807
O Ribeiro,32,Carballeda de Avia,32018,Vilar de Condes (Santa María),3201808
O Ribeiro,32,Castrelo de Miño,32022,Astariz (Santa María),3202201
O Ribeiro,32,Castrelo de Miño,32022,Barral (Nosa Señora das Neves),3202202
O Ribeiro,32,Castrelo de Miño,32022,Castrelo de Miño (Santa María),3202203
O Ribeiro,32,Castrelo de Miño,32022,Macendo (Santa María),3202204
O Ribeiro,32,Castrelo de Miño,32022,Prado de Miño (Santa María),3202205
O Ribeiro,32,Castrelo de Miño,32022,Ponte Castrelo (Santo Estevo),3202206
O Ribeiro,32,Castrelo de Miño,32022,Vide de Miño (San Salvador),3202207
O Ribeiro,32,Cenlle,32025,Cenlle (Santa María),3202501
O Ribeiro,32,Cenlle,32025,Esposende (Santa Mariña),3202502
O Ribeiro,32,Cenlle,32025,Laias (Santa Baia),3202503
O Ribeiro,32,Cenlle,32025,Osmo (San Miguel),3202504
O Ribeiro,32,Cenlle,32025,A Pena (San Lourenzo),3202505
O Ribeiro,32,Cenlle,32025,Razamonde (Santa María),3202506
O Ribeiro,32,Cenlle,32025,Sadurnín (San Xoán),3202507
O Ribeiro,32,Cenlle,32025,Trasariz (Santiago),3202508
O Ribeiro,32,Cenlle,32025,Vilar de Rei (San Miguel),3202509
O Ribeiro,32,Cenlle,32025,A Barca de Barbantes (Santo Antonio),3202510
O Ribeiro,32,Cortegada,32027,Valongo (San Martiño),3202701
O Ribeiro,32,Cortegada,32027,Cortegada (Santa María),3202702
O Ribeiro,32,Cortegada,32027,Louredo (San Xoán),3202703
O Ribeiro,32,Cortegada,32027,Meréns (San Cibrán),3202704
O Ribeiro,32,Cortegada,32027,Rabiño (San Bieito),3202705
O Ribeiro,32,Cortegada,32027,Refoxos (San Breixo),3202706
O Ribeiro,32,Cortegada,32027,Zaparín (San Martiño),3202707
O Ribeiro,32,Leiro,32040,Berán (San Breixo),3204001
O Ribeiro,32,Leiro,32040,Gomariz (Santa María),3204002
O Ribeiro,32,Leiro,32040,Lamas (Santa María),3204003
O Ribeiro,32,Leiro,32040,Lebosende (San Miguel),3204004
O Ribeiro,32,Leiro,32040,Leiro (San Pedro),3204005
O Ribeiro,32,Leiro,32040,Orega (San Xoán),3204006
O Ribeiro,32,Leiro,32040,San Clodio (Santa María),3204007
O Ribeiro,32,Leiro,32040,Serantes (San Tomé),3204008
O Ribeiro,32,Leiro,32040,Bieite (Santo Adrao),3204009
O Ribeiro,32,Melón,32046,Melón (Santa María),3204601
O Ribeiro,32,Melón,32046,Quins (Santa María),3204602
O Ribeiro,32,Ribadavia,32069,Campo Redondo (Santo André),3206901
O Ribeiro,32,Ribadavia,32069,Esposende (Santiago),3206902
O Ribeiro,32,Ribadavia,32069,Ribadavia (San Domingos de Fóra),3206905
O Ribeiro,32,Ribadavia,32069,Ribadavia (San Domingos),3206906
O Ribeiro,32,Ribadavia,32069,Sanín (San Pedro),3206907
O Ribeiro,32,Ribadavia,32069,Ventosela (San Paio),3206908
O Ribeiro,32,Ribadavia,32069,Francelos (Santa María Madanela),3206909
O Ribeiro,32,Ribadavia,32069,San Cristovo de Regodeigón (San Cristovo),3206904
A Barcala,15,A Baña,15007,A Baña (San Vicenzo),1500701
A Barcala,15,A Baña,15007,San Cibrán de Barcala (San Cibrán),1500702
A Barcala,15,A Baña,15007,Barcala (San Xoán),1500703
A Barcala,15,A Baña,15007,O Barro (Santa Mariña),1500704
A Barcala,15,A Baña,15007,Cabanas (San Miguel),1500705
A Barcala,15,A Baña,15007,Corneira (San Cristovo),1500706
A Barcala,15,A Baña,15007,A Ermida (San Salvador),1500707
A Barcala,15,A Baña,15007,Fiopáns (San Pedro),1500708
A Barcala,15,A Baña,15007,Lañas (Santa Baia),1500709
A Barcala,15,A Baña,15007,Marcelle (Santa Cristina),1500710
A Barcala,15,A Baña,15007,Sanamede do Monte (San Mamede),1500711
A Barcala,15,A Baña,15007,Ordoeste (Santa María),1500712
A Barcala,15,A Baña,15007,A Riba (San Xoán),1500713
A Barcala,15,A Baña,15007,Suevos (San Mamede),1500714
A Barcala,15,A Baña,15007,Troitosende (Santa María),1500715
A Barcala,15,Negreira,15056,Negreira (San Xián),1505600
A Barcala,15,Negreira,15056,Alvite (San Tomé),1505601
A Barcala,15,Negreira,15056,Aro (San Vicenzo),1505602
A Barcala,15,Negreira,15056,Arzón (San Cristovo),1505603
A Barcala,15,Negreira,15056,Broño (San Martiño),1505604
A Barcala,15,Negreira,15056,Bugallido (San Pedro),1505605
A Barcala,15,Negreira,15056,Campelo (San Fins),1505606
A Barcala,15,Negreira,15056,Campolongo (Santa Cruz),1505607
A Barcala,15,Negreira,15056,Covas (Santa María),1505608
A Barcala,15,Negreira,15056,Gonte (San Pedro),1505609
A Barcala,15,Negreira,15056,Landeira (Santo Estevo),1505610
A Barcala,15,Negreira,15056,Liñaio (San Martiño),1505611
A Barcala,15,Negreira,15056,Lueiro (Santa Baia),1505612
A Barcala,15,Negreira,15056,A Pena (San Mamede),1505613
A Barcala,15,Negreira,15056,Portor (Santa María),1505614
A Barcala,15,Negreira,15056,Xallas (San Pedro),1505615
A Barcala,15,Negreira,15056,Zas (San Mamede),1505616
A Barcala,15,Negreira,15056,Logrosa (Santa Baia),1505617
Terra De Celanova,32,A Bola,32014,San Martiño de Berredo (San Martiño),3201401
Terra De Celanova,32,A Bola,32014,Berredo (San Miguel),3201402
Terra De Celanova,32,A Bola,32014,Santa Baia de Berredo (Santa Baia),3201403
Terra De Celanova,32,A Bola,32014,Pardavedra (Santiago),3201404
Terra De Celanova,32,A Bola,32014,Podentes (Santa María),3201405
Terra De Celanova,32,A Bola,32014,Sorga (San Mamede),3201406
Terra De Celanova,32,A Bola,32014,Soutomel (Santa Locaia),3201407
Terra De Celanova,32,A Bola,32014,Veiga (San Munio),3201408
Terra De Celanova,32,A Merca,32047,Corvillón (Santa María),3204701
Terra De Celanova,32,A Merca,32047,Entrambosríos (Santa Mariña),3204702
Terra De Celanova,32,A Merca,32047,Faramontaos (San Xes),3204703
Terra De Celanova,32,A Merca,32047,A Manchica (Nosa Señora de Lourdes),3204704
Terra De Celanova,32,A Merca,32047,A Merca (Santa María),3204705
Terra De Celanova,32,A Merca,32047,A Mezquita (San Pedro),3204706
Terra De Celanova,32,A Merca,32047,San Vitoiro da Mezquita (San Vitoiro),3204707
Terra De Celanova,32,A Merca,32047,Olás de Vilariño (Santa María),3204708
Terra De Celanova,32,A Merca,32047,Parderrubias (Santa Olaia),3204709
Terra De Celanova,32,A Merca,32047,Pereira de Montes (Santa María),3204710
Terra De Celanova,32,A Merca,32047,Proente (Santo André),3204711
Terra De Celanova,32,A Merca,32047,Zarracós (Santo André),3204712
Terra De Celanova,32,Cartelle,32020,Anfeoz (Santa Baia),3202001
Terra De Celanova,32,Cartelle,32020,Cartelle (Santa María),3202002
Terra De Celanova,32,Cartelle,32020,Couxil (Santa María),3202003
Terra De Celanova,32,Cartelle,32020,Espiñoso (San Miguel),3202004
Terra De Celanova,32,Cartelle,32020,As Marabillas (Nosa Señora das Marabillas),3202005
Terra De Celanova,32,Cartelle,32020,Penela (Santiago),3202007
Terra De Celanova,32,Cartelle,32020,Sabucedo de Montes (San Pedro),3202008
Terra De Celanova,32,Cartelle,32020,Sande (San Salvador),3202009
Terra De Celanova,32,Cartelle,32020,San Tomé (Santa María),3202010
Terra De Celanova,32,Cartelle,32020,As Seixadas (San Xoán),3202011
Terra De Celanova,32,Cartelle,32020,Vilar de Vacas (Santa María),3202012
Terra De Celanova,32,Cartelle,32020,O Mundil (Santa María),3202006
Terra De Celanova,32,Celanova,32024,Ansemil (Santa María),3202403
Terra De Celanova,32,Celanova,32024,Bobadela (Santa María),3202405
Terra De Celanova,32,Celanova,32024,Cañón (San Lourenzo),3202406
Terra De Celanova,32,Celanova,32024,Freixo (Santa Cristina),3202411
Terra De Celanova,32,Celanova,32024,Rabal (San Salvador),3202416
Terra De Celanova,32,Celanova,32024,Vilanova dos Infantes (San Salvador),3202418
Terra De Celanova,32,Celanova,32024,Viveiro (San Xoán),3202419
Terra De Celanova,32,Celanova,32024,Alcázar de Milmanda (Santa Eufemia),3202413
Terra De Celanova,32,Celanova,32024,Castromao (Santa María),3202408
Terra De Celanova,32,Celanova,32024,Barxa (San Tomé),3202404
Terra De Celanova,32,Celanova,32024,Mourillós (San Pedro),3202414
Terra De Celanova,32,Celanova,32024,A Veiga (San Paio),3202417
Terra De Celanova,32,Celanova,32024,Amoroce (Santiago),3202402
Terra De Celanova,32,Celanova,32024,Fechas (Santa María),3202410
Terra De Celanova,32,Celanova,32024,Milmanda (Santa Eufemia),3202412
Terra De Celanova,32,Celanova,32024,Orga (San Miguel),3202415
Terra De Celanova,32,Celanova,32024,Celanova (San Rosendo),3202409
Terra De Celanova,32,Celanova,32024,Acevedo do Río (San Xurxo),3202401
Terra De Celanova,32,Gomesende,32033,San Lourenzo de Fustáns (San Lourenzo),3203301
Terra De Celanova,32,Gomesende,32033,O Pao (Santa María),3203302
Terra De Celanova,32,Gomesende,32033,Poulo (San Pedro),3203304
Terra De Celanova,32,Gomesende,32033,A Guía (Santa María),3203305
Terra De Celanova,32,Gomesende,32033,O Val (Santa María),3203306
Terra De Celanova,32,Gomesende,32033,Penosiños (San Salvador),3203303
Terra De Celanova,32,Padrenda,32056,O Condado (Santa María),3205601
Terra De Celanova,32,Padrenda,32056,Crespos (San Xoán),3205602
Terra De Celanova,32,Padrenda,32056,Desteriz (San Miguel),3205603
Terra De Celanova,32,Padrenda,32056,Monte Redondo (San Xoán),3205604
Terra De Celanova,32,Padrenda,32056,Padrenda (San Cibrán),3205605
Terra De Celanova,32,Padrenda,32056,San Pedro da Torre (San Pedro),3205606
Terra De Celanova,32,Pontedeva,32064,Pontedeva (San Breixo),3206401
Terra De Celanova,32,Pontedeva,32064,Trado (San Paio),3206402
Terra De Celanova,32,Quintela de Leirado,32066,Xacebáns (Santiago),3206601
Terra De Celanova,32,Quintela de Leirado,32066,Leirado (San Pedro),3206602
Terra De Celanova,32,Quintela de Leirado,32066,Mociños (Santa María),3206603
Terra De Celanova,32,Quintela de Leirado,32066,Quintela de Leirado (San Paulo),3206604
Terra De Celanova,32,Quintela de Leirado,32066,Redemuíños (San Salvador),3206605
Terra De Celanova,32,Ramirás,32068,Casardeita (Santiago),3206801
Terra De Celanova,32,Ramirás,32068,Escudeiros (San Xoán),3206802
Terra De Celanova,32,Ramirás,32068,Grixó (Santa Isabel),3206804
Terra De Celanova,32,Ramirás,32068,Mosteiro (San Pedro),3206805
Terra De Celanova,32,Ramirás,32068,Paizás (San Salvador),3206806
Terra De Celanova,32,Ramirás,32068,Santo André de Penosiños (Santo André),3206807
Terra De Celanova,32,Ramirás,32068,Penosiños (San Salvador),3206808
Terra De Celanova,32,Ramirás,32068,Vilameá de Ramirás (Santa María),3206810
Terra De Celanova,32,Ramirás,32068,Freás de Eiras (Santa María),3206803
Terra De Celanova,32,Ramirás,32068,Rubiás (Santiago),3206809
Terra De Celanova,32,Verea,32084,Albos (San Mamede),3208401
Terra De Celanova,32,Verea,32084,Bangueses (San Miguel),3208402
Terra De Celanova,32,Verea,32084,Cexo (Santo Adrao),3208403
Terra De Celanova,32,Verea,32084,Santa María de Cexo (Santa María),3208404
Terra De Celanova,32,Verea,32084,Domés (San Martiño),3208405
Terra De Celanova,32,Verea,32084,Gontán (Santo André),3208406
Terra De Celanova,32,Verea,32084,Ourille (San Pedro),3208407
Terra De Celanova,32,Verea,32084,Pitelos (Santa María),3208408
Terra De Celanova,32,Verea,32084,Portela (Santa Baia),3208409
Terra De Celanova,32,Verea,32084,Sanguñedo (San Salvador),3208410
Terra De Celanova,32,Verea,32084,Verea (Santiago),3208411
A Paradanta,36,A Cañiza,36009,As Achas (San Sebastián),3600901
A Paradanta,36,A Cañiza,36009,A Cañiza (Santa Teresa),3600902
A Paradanta,36,A Cañiza,36009,O Couto (San Bartolomeu),3600903
A Paradanta,36,A Cañiza,36009,A Franqueira (Santa María),3600904
A Paradanta,36,A Cañiza,36009,Luneda (Santa María),3600905
A Paradanta,36,A Cañiza,36009,Oroso (Santa María),3600906
A Paradanta,36,A Cañiza,36009,Parada das Achas (Santiago),3600907
A Paradanta,36,A Cañiza,36009,Petán (San Xián),3600908
A Paradanta,36,A Cañiza,36009,Valeixe (Santa Cristina),3600909
A Paradanta,36,Arbo,36001,Arbo (Santa María),3600101
A Paradanta,36,Arbo,36001,Barcela (San Xoán),3600102
A Paradanta,36,Arbo,36001,Cabeiras (San Sebastián),3600103
A Paradanta,36,Arbo,36001,Cequeliños (San Miguel),3600104
A Paradanta,36,Arbo,36001,Mourentán (San Cristovo),3600105
A Paradanta,36,Arbo,36001,Sela (Santa María),3600106
A Paradanta,36,Covelo,36013,Barcia de Mera (San Martiño),3601301
A Paradanta,36,Covelo,36013,Campo (Santa María),3601302
A Paradanta,36,Covelo,36013,Casteláns (Santo Estevo),3601303
A Paradanta,36,Covelo,36013,Covelo (Santa Mariña),3601304
A Paradanta,36,Covelo,36013,Santiago de Covelo (Santiago),3601305
A Paradanta,36,Covelo,36013,Fofe (San Miguel),3601306
A Paradanta,36,Covelo,36013,Godóns (Santa María),3601307
A Paradanta,36,Covelo,36013,A Graña (San Bernabeu),3601308
A Paradanta,36,Covelo,36013,A Lamosa (San Bartolomeu),3601309
A Paradanta,36,Covelo,36013,Maceira (San Salvador),3601310
A Paradanta,36,Covelo,36013,Paraños (Santa María),3601311
A Paradanta,36,Covelo,36013,O Piñeiro (San Xoán),3601312
A Paradanta,36,Covelo,36013,Prado (San Salvador),3601313
A Paradanta,36,Covelo,36013,Prado de Canda (Santiago),3601314
A Paradanta,36,Crecente,36014,Albeos (San Xoán),3601401
A Paradanta,36,Crecente,36014,A Ameixeira (San Bernabeu),3601402
A Paradanta,36,Crecente,36014,Angudes (San Xoán),3601403
A Paradanta,36,Crecente,36014,Crecente (San Pedro),3601404
A Paradanta,36,Crecente,36014,Filgueira (San Pedro),3601405
A Paradanta,36,Crecente,36014,O Freixo (San Roque),3601406
A Paradanta,36,Crecente,36014,Quintela (San Caetano),3601407
A Paradanta,36,Crecente,36014,Rebordechán (Santa María),3601408
A Paradanta,36,Crecente,36014,Ribeira (Santa Mariña),3601409
A Paradanta,36,Crecente,36014,Sendelle (Santa Cruz),3601410
A Paradanta,36,Crecente,36014,Vilar (San Xorxe),3601411
Eume,15,A Capela,15018,Caaveiro (San Boulo),1501802
Eume,15,A Capela,15018,Cabalar (Santa María),1501803
Eume,15,A Capela,15018,Capela (Santiago),1501804
Eume,15,As Pontes de García Rodríguez,15070,O Aparral (Santa María),1507001
Eume,15,As Pontes de García Rodríguez,15070,O Deveso (Santa María),1507002
Eume,15,As Pontes de García Rodríguez,15070,O Freixo (San Xoán),1507003
Eume,15,As Pontes de García Rodríguez,15070,Somede (San Mamede),1507004
Eume,15,As Pontes de García Rodríguez,15070,As Pontes de García Rodríguez (Santa María),1507005
Eume,15,As Pontes de García Rodríguez,15070,Vilavella (Santa María),1507006
Eume,15,As Pontes de García Rodríguez,15070,Bermui (Santiago),1507007
Eume,15,As Pontes de García Rodríguez,15070,Espiñaredo (Santa María),1507008
Eume,15,As Pontes de García Rodríguez,15070,San Pedro de Eume (San Pedro),1507009
Eume,15,As Pontes de García Rodríguez,15070,A Faeira (San Pedro),1507010
Eume,15,As Pontes de García Rodríguez,15070,Goente (San Martiño),1507011
Eume,15,As Pontes de García Rodríguez,15070,Seoane (San Xoán),1507013
Eume,15,As Pontes de García Rodríguez,15070,Ribadeume (Santa María),1507012
Eume,15,Cabanas,15015,Cabanas (Santo André),1501501
Eume,15,Cabanas,15015,Irís (Santo Estevo),1501502
Eume,15,Cabanas,15015,Laraxe (San Mamede),1501503
Eume,15,Cabanas,15015,San Martiño de Porto (San Martiño),1501504
Eume,15,Cabanas,15015,Regoela (San Vicente),1501505
Eume,15,Cabanas,15015,Santa Cruz do Salto (Santa Cruz),1501506
Eume,15,Cabanas,15015,Soaserra (Santa Olaia),1501507
Eume,15,Monfero,15050,O Val de Xestoso (San Pedro),1505001
Eume,15,Monfero,15050,O Alto de Xestoso (Santa María),1505002
Eume,15,Monfero,15050,San Fiz de Monfero (San Fiz),1505003
Eume,15,Monfero,15050,Santa Xiá de Monfero (Santa Xiá),1505004
Eume,15,Monfero,15050,Queixeiro (San Xurxo),1505005
Eume,15,Monfero,15050,Taboada (Santa Mariña),1505006
Eume,15,Monfero,15050,Vilachá (Santa María),1505007
Eume,15,Pontedeume,15069,Andrade (San Martiño),1506901
Eume,15,Pontedeume,15069,Boebre (Santiago),1506902
Eume,15,Pontedeume,15069,Breamo (San Miguel),1506903
Eume,15,Pontedeume,15069,Centroña (Santa María),1506904
Eume,15,Pontedeume,15069,Nogueirosa (San Cosme),1506905
Eume,15,Pontedeume,15069,Ombre (Santa María),1506906
Eume,15,Pontedeume,15069,Pontedeume (Santiago),1506907
Eume,15,Pontedeume,15069,Vilar (San Pedro),1506908
A Coruña,15,A Coruña,15030,A Coruña,1503000
A Coruña,15,A Coruña,15030,Elviña (San Vicenzo),1503001
A Coruña,15,A Coruña,15030,Oza (Santa María),1503002
A Coruña,15,A Coruña,15030,San Cristovo das Viñas (San Cristovo),1503004
A Coruña,15,A Coruña,15030,Visma (San Pedro),1503005
A Coruña,15,Abegondo,15001,Abegondo (Santaia),1500101
A Coruña,15,Abegondo,15001,Cabanas (San Xián),1500102
A Coruña,15,Abegondo,15001,Cerneda (San Salvador),1500103
A Coruña,15,Abegondo,15001,Cos (Santo Estevo),1500104
A Coruña,15,Abegondo,15001,Crendes (San Pedro),1500105
A Coruña,15,Abegondo,15001,Cullergondo (Santa María),1500106
A Coruña,15,Abegondo,15001,Figueroa (San Miguel),1500107
A Coruña,15,Abegondo,15001,Folgoso (Santa Dorotea),1500108
A Coruña,15,Abegondo,15001,Leiro (Santaia),1500109
A Coruña,15,Abegondo,15001,Limiñón (San Salvador),1500110
A Coruña,15,Abegondo,15001,Mabegondo (San Tirso),1500111
A Coruña,15,Abegondo,15001,Meangos (Santiago),1500112
A Coruña,15,Abegondo,15001,Montouto (Santa Cristina),1500113
A Coruña,15,Abegondo,15001,Orto (San Martiño),1500114
A Coruña,15,Abegondo,15001,Presedo (Santa María),1500115
A Coruña,15,Abegondo,15001,Sarandós (Santa María),1500116
A Coruña,15,Abegondo,15001,Vilacova (San Tomé),1500117
A Coruña,15,Abegondo,15001,Viós (San Salvador),1500118
A Coruña,15,Abegondo,15001,Vizoño (San Pedro),1500119
A Coruña,15,Arteixo,15005,Arteixo (Santiago),1500502
A Coruña,15,Arteixo,15005,Barrañán (San Xián),1500503
A Coruña,15,Arteixo,15005,Morás (Santo Estevo),1500509
A Coruña,15,Arteixo,15005,Larín (Santo Estevo),1500506
A Coruña,15,Arteixo,15005,Monteagudo (San Tomé),1500508
A Coruña,15,Arteixo,15005,Suevos (San Martiño),1500513
A Coruña,15,Arteixo,15005,Loureda (Santa María),1500507
A Coruña,15,Arteixo,15005,Armentón (San Pedro),1500501
A Coruña,15,Arteixo,15005,Chamín (Santaia),1500504
A Coruña,15,Arteixo,15005,Lañas (Santa María),1500505
A Coruña,15,Arteixo,15005,Sorrizo (San Pedro),1500512
A Coruña,15,Arteixo,15005,Oseiro (San Tirso),1500510
A Coruña,15,Arteixo,15005,Pastoriza (Santa María),1500511
A Coruña,15,Bergondo,15008,Santa Marta de Babío (Santa Marta),1500801
A Coruña,15,Bergondo,15008,Bergondo (San Salvador),1500802
A Coruña,15,Bergondo,15008,Cortiñán (Santa María),1500803
A Coruña,15,Bergondo,15008,Guísamo (Santa María),1500804
A Coruña,15,Bergondo,15008,Lubre (San Xoán),1500805
A Coruña,15,Bergondo,15008,Moruxo (San Vicente),1500806
A Coruña,15,Bergondo,15008,Ouces (San Xoán),1500807
A Coruña,15,Bergondo,15008,Rois (Santa Mariña),1500808
A Coruña,15,Bergondo,15008,Vixoi (San Fiz),1500809
A Coruña,15,Cambre,15017,Anceis (San Xoán),1501701
A Coruña,15,Cambre,15017,Andeiro (San Martiño),1501702
A Coruña,15,Cambre,15017,Brexo (San Paio),1501703
A Coruña,15,Cambre,15017,Bribes (San Cibrán),1501704
A Coruña,15,Cambre,15017,Cambre (Santa María),1501705
A Coruña,15,Cambre,15017,Cecebre (San Salvador),1501706
A Coruña,15,Cambre,15017,Cela (San Xulián),1501707
A Coruña,15,Cambre,15017,Meixigo (San Lourenzo),1501708
A Coruña,15,Cambre,15017,Pravio (San Xoán),1501709
A Coruña,15,Cambre,15017,Sigrás (Santiago),1501710
A Coruña,15,Cambre,15017,O Temple (Santa María),1501711
A Coruña,15,Cambre,15017,Vigo (Santa María),1501712
A Coruña,15,Carral,15021,Cañás (Santa Baia),1502101
A Coruña,15,Carral,15021,Paleo (Santo Estevo),1502102
A Coruña,15,Carral,15021,Quembre (San Pedro),1502103
A Coruña,15,Carral,15021,Sergude (San Xián),1502104
A Coruña,15,Carral,15021,Sumio (Santiago),1502105
A Coruña,15,Carral,15021,Tabeaio (San Martiño),1502106
A Coruña,15,Carral,15021,Beira (Santa Mariña),1502107
A Coruña,15,Carral,15021,Vigo (San Vicente),1502108
A Coruña,15,Culleredo,15031,Almeiras (San Xián),1503101
A Coruña,15,Culleredo,15031,O Burgo (Santiago),1503102
A Coruña,15,Culleredo,15031,Castelo (Santiago),1503103
A Coruña,15,Culleredo,15031,Celas (Santa María),1503104
A Coruña,15,Culleredo,15031,Culleredo (Santo Estevo),1503105
A Coruña,15,Culleredo,15031,Ledoño (San Pedro),1503106
A Coruña,15,Culleredo,15031,Orro (San Salvador),1503107
A Coruña,15,Culleredo,15031,Rutis (Santa María),1503108
A Coruña,15,Culleredo,15031,Sésamo (San Martiño),1503109
A Coruña,15,Culleredo,15031,Sueiro (Santo Estevo),1503110
A Coruña,15,Culleredo,15031,Veiga (San Silvestre),1503111
A Coruña,15,Oleiros,15058,Dexo (Santa María),1505801
A Coruña,15,Oleiros,15058,Dorneda (San Martiño),1505802
A Coruña,15,Oleiros,15058,Iñás (San Xorxe),1505803
A Coruña,15,Oleiros,15058,Liáns (Santaia),1505804
A Coruña,15,Oleiros,15058,Maianca (San Cosme),1505805
A Coruña,15,Oleiros,15058,San Pedro de Nós (San Pedro),1505806
A Coruña,15,Oleiros,15058,Oleiros (Santa María),1505807
A Coruña,15,Oleiros,15058,Perillo (Santa Locaia),1505808
A Coruña,15,Oleiros,15058,Serantes (San Xián),1505809
A Coruña,15,Sada,15075,Carnoedo (Santo André),1507501
A Coruña,15,Sada,15075,Meirás (San Martiño),1507502
A Coruña,15,Sada,15075,Mondego (San Xián),1507503
A Coruña,15,Sada,15075,Mosteirón (San Nicolao),1507504
A Coruña,15,Sada,15075,Sada (Santa María),1507506
A Coruña,15,Sada,15075,Soñeiro (San Xián),1507507
A Coruña,15,Sada,15075,Veigue (Santa Comba),1507508
A Coruña,15,Sada,15075,Osedo (San Xián),1507505
Tabeirós-Terra De Montes,36,A Estrada,36017,Agar (Santa Mariña),3601701
Tabeirós-Terra De Montes,36,A Estrada,36017,Aguións (Santa María),3601702
Tabeirós-Terra De Montes,36,A Estrada,36017,San Pedro de Ancorados (San Pedro),3601703
Tabeirós-Terra De Montes,36,A Estrada,36017,San Tomé de Ancorados (San Tomé),3601704
Tabeirós-Terra De Montes,36,A Estrada,36017,Arca (San Miguel),3601705
Tabeirós-Terra De Montes,36,A Estrada,36017,Arnois (San Xiao),3601706
Tabeirós-Terra De Montes,36,A Estrada,36017,Baloira (San Salvador),3601707
Tabeirós-Terra De Montes,36,A Estrada,36017,Barbude (San Martiño),3601708
Tabeirós-Terra De Montes,36,A Estrada,36017,San Miguel de Barcala (San Miguel),3601709
Tabeirós-Terra De Montes,36,A Estrada,36017,Barcala (Santa Mariña),3601710
Tabeirós-Terra De Montes,36,A Estrada,36017,Berres (San Vicenzo),3601711
Tabeirós-Terra De Montes,36,A Estrada,36017,Callobre (San Martiño),3601712
Tabeirós-Terra De Montes,36,A Estrada,36017,San Miguel de Castro (San Miguel),3601713
Tabeirós-Terra De Montes,36,A Estrada,36017,Cereixo (San Xurxo),3601714
Tabeirós-Terra De Montes,36,A Estrada,36017,Codeseda (San Xurxo),3601715
Tabeirós-Terra De Montes,36,A Estrada,36017,Cora (San Miguel),3601716
Tabeirós-Terra De Montes,36,A Estrada,36017,Couso (Santa María),3601717
Tabeirós-Terra De Montes,36,A Estrada,36017,Curantes (San Miguel),3601718
Tabeirós-Terra De Montes,36,A Estrada,36017,A Estrada (San Paio),3601719
Tabeirós-Terra De Montes,36,A Estrada,36017,Frades (Santa María),3601720
Tabeirós-Terra De Montes,36,A Estrada,36017,Guimarei (San Xiao),3601721
Tabeirós-Terra De Montes,36,A Estrada,36017,Lagartóns (Santo Estevo),3601722
Tabeirós-Terra De Montes,36,A Estrada,36017,Lamas (San Breixo),3601723
Tabeirós-Terra De Montes,36,A Estrada,36017,Liripio (San Xoán Bautista),3601724
Tabeirós-Terra De Montes,36,A Estrada,36017,Loimil (Santa María),3601725
Tabeirós-Terra De Montes,36,A Estrada,36017,Matalobos (Santa Baia),3601726
Tabeirós-Terra De Montes,36,A Estrada,36017,Moreira (San Miguel),3601727
Tabeirós-Terra De Montes,36,A Estrada,36017,Nigoi (Santa María),3601728
Tabeirós-Terra De Montes,36,A Estrada,36017,Oca (Santo Estevo),3601729
Tabeirós-Terra De Montes,36,A Estrada,36017,Olives (Santa María),3601730
Tabeirós-Terra De Montes,36,A Estrada,36017,Orazo (San Pedro),3601731
Tabeirós-Terra De Montes,36,A Estrada,36017,Ouzande (San Lourenzo),3601732
Tabeirós-Terra De Montes,36,A Estrada,36017,Parada (San Pedro),3601733
Tabeirós-Terra De Montes,36,A Estrada,36017,Paradela (Santa María),3601734
Tabeirós-Terra De Montes,36,A Estrada,36017,Pardemarín (Santa Baia),3601735
Tabeirós-Terra De Montes,36,A Estrada,36017,Remesar (San Cristovo),3601736
Tabeirós-Terra De Montes,36,A Estrada,36017,Ribeira (Santa Mariña),3601737
Tabeirós-Terra De Montes,36,A Estrada,36017,Ribela (Santa Mariña),3601738
Tabeirós-Terra De Montes,36,A Estrada,36017,Riobó (San Martiño),3601739
Tabeirós-Terra De Montes,36,A Estrada,36017,Rubín (Santa María),3601740
